id,card_id,step,name,link_to,description,bgm_id
1,1029571,1,【反逆の決定打】ベジータ1段階,internal:OriginMapScene?episode=2001&battle=20010102,"Complete a certain Node 2 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
2,1029571,2,【反逆の決定打】ベジータ2段階,internal:OriginMapScene?episode=2001&battle=20010102,"Complete a certain Node 2 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",390.0
3,1029571,3,【反逆の決定打】ベジータ3段階,internal:OriginMapScene?episode=2001&battle=20010102,"Complete a certain Node 2 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",390.0
4,1029571,4,【反逆の決定打】ベジータ4段階,internal:OriginMapScene?episode=2001&battle=20010102,"Complete a certain Node 2 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",390.0
5,1022941,1,【進退窮まる闘い】クリリン&孫悟飯(幼年期)1段階,internal:OriginMapScene?episode=2001&battle=20010302,"Complete a certain Node 7 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
6,1022941,2,【進退窮まる闘い】クリリン&孫悟飯(幼年期)2段階,internal:OriginMapScene?episode=2001&battle=20010302,"Complete a certain Node 7 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",153.0
7,1022941,3,【進退窮まる闘い】クリリン&孫悟飯(幼年期)3段階,internal:OriginMapScene?episode=2001&battle=20010302,"Complete a certain Node 7 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",153.0
8,1022941,4,【進退窮まる闘い】クリリン&孫悟飯(幼年期)4段階,internal:OriginMapScene?episode=2001&battle=20010302,"Complete a certain Node 7 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",153.0
9,4022951,1,【進退窮まる闘い】クリリン&孫悟飯(幼年期)1段階,internal:OriginMapScene?episode=2001&battle=20010302,"Complete a certain Node 7 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
10,4022951,2,【進退窮まる闘い】クリリン&孫悟飯(幼年期)2段階,internal:OriginMapScene?episode=2001&battle=20010302,"Complete a certain Node 7 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",153.0
11,4022951,3,【進退窮まる闘い】クリリン&孫悟飯(幼年期)3段階,internal:OriginMapScene?episode=2001&battle=20010302,"Complete a certain Node 7 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",153.0
12,4022951,4,【進退窮まる闘い】クリリン&孫悟飯(幼年期)4段階,internal:OriginMapScene?episode=2001&battle=20010302,"Complete a certain Node 7 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",153.0
13,1013101,1,【新生特戦隊のお披露目】ギニュー(孫悟空)(特戦隊)1段階,internal:OriginMapScene?episode=2001&battle=20010401,"Complete a certain Node 11 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
14,1013101,2,【新生特戦隊のお披露目】ギニュー(孫悟空)(特戦隊)2段階,internal:OriginMapScene?episode=2001&battle=20010331,"Complete a certain Node 7-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",185.0
15,1013101,3,【新生特戦隊のお披露目】ギニュー(孫悟空)(特戦隊)3段階,internal:OriginMapScene?episode=2001&battle=20010332,"Complete a certain Node 8-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",185.0
16,1013101,4,【新生特戦隊のお披露目】ギニュー(孫悟空)(特戦隊)4段階,internal:OriginMapScene?episode=2001&battle=20010401,"Complete a certain Node 11 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",185.0
17,1023731,1,【赤と青の光球】ジース&バータ1段階,internal:OriginMapScene?episode=2001&battle=20010305,"Complete a certain Node 10 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
18,1023731,2,【赤と青の光球】ジース&バータ2段階,internal:OriginMapScene?episode=2001&battle=20010305,"Complete a certain Node 10 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",350.0
19,1023731,3,【赤と青の光球】ジース&バータ3段階,internal:OriginMapScene?episode=2001&battle=20010305,"Complete a certain Node 10 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",350.0
20,1023731,4,【赤と青の光球】ジース&バータ4段階,internal:OriginMapScene?episode=2001&battle=20010305,"Complete a certain Node 10 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",350.0
21,1023751,1,【残虐パワーとサイコキネシス】リクーム&グルド1段階,internal:OriginMapScene?episode=2001&battle=20010331,"Complete a certain Node 7-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
22,1023751,2,【残虐パワーとサイコキネシス】リクーム&グルド2段階,internal:OriginMapScene?episode=2001&battle=20010331,"Complete a certain Node 7-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",350.0
23,1023751,3,【残虐パワーとサイコキネシス】リクーム&グルド3段階,internal:OriginMapScene?episode=2001&battle=20010303,"Complete a certain Node 8 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",350.0
24,1023751,4,【残虐パワーとサイコキネシス】リクーム&グルド4段階,internal:OriginMapScene?episode=2001&battle=20010304,"Complete a certain Node 9 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",350.0
25,1009381,1,【恐怖の君臨】フリーザ(第一形態)1段階,internal:OriginMapScene?episode=2001&battle=20010501,"Complete a certain Node 15 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
26,1009381,2,【恐怖の君臨】フリーザ(第一形態)2段階,internal:OriginMapScene?episode=2001&battle=20010531,"Complete a certain Node 15-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",342.0
27,1009381,3,【恐怖の君臨】フリーザ(第一形態)3段階,internal:OriginMapScene?episode=2001&battle=20010531,"Complete a certain Node 15-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",342.0
28,1009381,4,【恐怖の君臨】フリーザ(第一形態)4段階,internal:OriginMapScene?episode=2001&battle=20010531,"Complete a certain Node 15-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",342.0
29,1022471,1,【不気味な絶望感】フリーザ(第三形態)1段階,internal:OriginMapScene?episode=2001&battle=20010532,"Complete a certain Node 17-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
30,1022471,2,【不気味な絶望感】フリーザ(第三形態2段階,internal:OriginMapScene?episode=2001&battle=20010532,"Complete a certain Node 17-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",61.0
31,1022471,3,【不気味な絶望感】フリーザ(第三形態)3段階,internal:OriginMapScene?episode=2001&battle=20010532,"Complete a certain Node 17-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",61.0
32,1022471,4,【不気味な絶望感】フリーザ(第三形態)4段階,internal:OriginMapScene?episode=2001&battle=20010532,"Complete a certain Node 17-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",61.0
33,1022451,1,【抜群の知慮】ピッコロ1段階,internal:OriginMapScene?episode=2001&battle=20010503,"Complete a certain Node 17 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
34,1022451,2,【抜群の知慮】ピッコロ2段階,internal:OriginMapScene?episode=2001&battle=20010503,"Complete a certain Node 17 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",73.0
35,1022451,3,【抜群の知慮】ピッコロ3段階,internal:OriginMapScene?episode=2001&battle=20010601,"Complete a certain Node 18 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",73.0
36,1022451,4,【抜群の知慮】ピッコロ4段階,internal:OriginMapScene?episode=2001&battle=20010601,"Complete a certain Node 18 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",73.0
37,1023771,1,【隊長のとっておき】ギニュー1段階,internal:OriginMapScene?episode=2001&battle=20010432,"Complete a certain Node 14-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
38,1023771,2,【隊長のとっておき】ギニュー2段階,internal:OriginMapScene?episode=2001&battle=20010432,"Complete a certain Node 14-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",185.0
39,1023771,3,【隊長のとっておき】ギニュー3段階,internal:OriginMapScene?episode=2001&battle=20010432,"Complete a certain Node 14-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",185.0
40,1023771,4,【隊長のとっておき】ギニュー4段階,internal:OriginMapScene?episode=2001&battle=20010432,"Complete a certain Node 14-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",185.0
41,4023781,1,【隊長のとっておき】ギニュー(孫悟空)1段階,internal:OriginMapScene?episode=2001&battle=20010432,"Complete a certain Node 14-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
42,4023781,2,【隊長のとっておき】ギニュー(孫悟空)2段階,internal:OriginMapScene?episode=2001&battle=20010432,"Complete a certain Node 14-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",185.0
43,4023781,3,【隊長のとっておき】ギニュー(孫悟空)3段階,internal:OriginMapScene?episode=2001&battle=20010432,"Complete a certain Node 14-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",185.0
44,4023781,4,【隊長のとっておき】ギニュー(孫悟空)4段階,internal:OriginMapScene?episode=2001&battle=20010432,"Complete a certain Node 14-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",185.0
45,1017471,1,【真摯な覚悟】ネイル1段階,internal:OriginMapScene?episode=2001&battle=20010431,"Complete a certain Node 11-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
46,1017471,2,【真摯な覚悟】ネイル2段階,internal:OriginMapScene?episode=2001&battle=20010431,"Complete a certain Node 11-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",73.0
47,1017471,3,【真摯な覚悟】ネイル3段階,internal:OriginMapScene?episode=2001&battle=20010431,"Complete a certain Node 11-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",73.0
48,1017471,4,【真摯な覚悟】ネイル4段階,internal:OriginMapScene?episode=2001&battle=20010431,"Complete a certain Node 11-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",73.0
49,1029701,1,【形勢逆転のスーパーパワー】悟飯/ピッコロ,internal:OriginMapScene?episode=2001&battle=20010601,"Complete a certain Node 18 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
50,1029701,2,【形勢逆転のスーパーパワー】悟飯/ピッコロ,internal:OriginMapScene?episode=2001&battle=20010601,"Complete a certain Node 18 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",391.0
51,1029701,3,【形勢逆転のスーパーパワー】悟飯/ピッコロ,internal:OriginMapScene?episode=2001&battle=20010601,"Complete a certain Node 18 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",391.0
52,1029701,4,【形勢逆転のスーパーパワー】悟飯/ピッコロ,internal:OriginMapScene?episode=2001&battle=20010601,"Complete a certain Node 18 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",391.0
53,4029711,1,【形勢逆転のスーパーパワー】ピッコロ,internal:OriginMapScene?episode=2001&battle=20010601,"Complete a certain Node 18 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
54,4029711,2,【形勢逆転のスーパーパワー】ピッコロ,internal:OriginMapScene?episode=2001&battle=20010601,"Complete a certain Node 18 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",391.0
55,4029711,3,【形勢逆転のスーパーパワー】ピッコロ,internal:OriginMapScene?episode=2001&battle=20010601,"Complete a certain Node 18 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",391.0
56,4029711,4,【形勢逆転のスーパーパワー】ピッコロ,internal:OriginMapScene?episode=2001&battle=20010601,"Complete a certain Node 18 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",391.0
57,1023041,1,【サイヤ人の誇り】ベジータ/孫悟空,internal:OriginMapScene?episode=2001&battle=20010602,"Complete a certain Node 19 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
58,1023041,2,【サイヤ人の誇り】ベジータ/孫悟空,internal:OriginMapScene?episode=2001&battle=20010602,"Complete a certain Node 19 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",152.0
59,1023041,3,【サイヤ人の誇り】ベジータ/孫悟空,internal:OriginMapScene?episode=2001&battle=20010603,"Complete a certain Node 20 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",152.0
60,1023041,4,【サイヤ人の誇り】ベジータ/孫悟空,internal:OriginMapScene?episode=2001&battle=20010603,"Complete a certain Node 20 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",152.0
61,4023051,1,【サイヤ人の誇り】孫悟空,internal:OriginMapScene?episode=2001&battle=20010602,"Complete a certain Node 19 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
62,4023051,2,【サイヤ人の誇り】孫悟空,internal:OriginMapScene?episode=2001&battle=20010602,"Complete a certain Node 19 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",152.0
63,4023051,3,【サイヤ人の誇り】孫悟空,internal:OriginMapScene?episode=2001&battle=20010603,"Complete a certain Node 19 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",152.0
64,4023051,4,【サイヤ人の誇り】孫悟空,internal:OriginMapScene?episode=2001&battle=20010603,"Complete a certain Node 19 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",152.0
65,1022631,1,【全ての怒りを込めた一撃】超サイヤ人孫悟空,internal:OriginMapScene?episode=2001&battle=20010801,"Complete a certain Node 25 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
66,1022631,2,【全ての怒りを込めた一撃】超サイヤ人孫悟空,internal:OriginMapScene?episode=2001&battle=20010801,"Complete a certain Node 25 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",150.0
67,1022631,3,【全ての怒りを込めた一撃】超サイヤ人孫悟空,internal:OriginMapScene?episode=2001&battle=20010802,"Complete a certain Node 26 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",150.0
68,1022631,4,【全ての怒りを込めた一撃】超サイヤ人孫悟空,internal:OriginMapScene?episode=2001&battle=20010802,"Complete a certain Node 26 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",150.0
69,1022751,1,【怨恨の咆哮】フリーザ(フルパワー),internal:OriginMapScene?episode=2001&battle=20010801,"Complete a certain Node 25 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
70,1022751,2,【怨恨の咆哮】フリーザ(フルパワー),internal:OriginMapScene?episode=2001&battle=20010801,"Complete a certain Node 25 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",151.0
71,1022751,3,【怨恨の咆哮】フリーザ(フルパワー),internal:OriginMapScene?episode=2001&battle=20010802,"Complete a certain Node 26 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",151.0
72,1022751,4,【怨恨の咆哮】フリーザ(フルパワー),internal:OriginMapScene?episode=2001&battle=20010802,"Complete a certain Node 26 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",151.0
73,1028721,1,【前代未聞の強者集団】ギニュー(特戦隊),internal:OriginMapScene?episode=2001&battle=20010331,"Complete a certain Node 7-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
74,1028721,2,【前代未聞の強者集団】ギニュー(特戦隊),internal:OriginMapScene?episode=2001&battle=20010332,"Complete a certain Node 8-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",349.0
75,1028721,3,【前代未聞の強者集団】ギニュー(特戦隊),internal:OriginMapScene?episode=2001&battle=20010404,"Complete a certain Node 14 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",349.0
76,1028721,4,【前代未聞の強者集団】ギニュー(特戦隊),internal:OriginMapScene?episode=2001&battle=20010432,"Complete a certain Node 14-1 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",349.0
81,1004251,1,【帝王の執念】フリーザ(フルパワー),internal:OriginMapScene?episode=2001&battle=20010704,"Complete a certain Node 24 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",
82,1004251,2,【帝王の執念】フリーザ(フルパワー),internal:OriginMapScene?episode=2001&battle=20010704,"Complete a certain Node 24 mission of 
""Planet Namek Saga"" in Dokkan Frontier to unlock.",27.0
