id,enemy_skill_id,phrase,voice_asset_id
4,2000570,You're all dead!!!,5011
5,2000410,Vegeta! You... H-How dare you!!!,5021
6,2000440,Hyaaaagh!!!,5024
7,2000450,"Hey! You're better than 
I thought you'd be, Vegeta!",5027
8,2000590,"Tch. You're a monster! 
Damn... How is this possible...?!",5028
9,2000610,"All right! I think it's finally time 
to show you my best stuff!",5037
10,2000370,Now!!!,5048
11,2000650,"Let's finish this!!! 
Die!!!",5069
12,2000670,"You really know how to 
push my buttons!!!",5072
13,2000750,"Consider this payback for 
all the Namekians you've killed!",5090
14,2000880,"Another one 
bites the dust.",5104
15,2001000,"This ends now!!! I will reduce 
you and this entire planet 
to nothing but ashes!!!",5131
16,2001020,Hm hm hm hm...,5132
17,2001050,Kaioken!!!,5130
18,2001040,"I hate you...! 
I HATE YOU!!!",5135
19,2001070,"I've had enough. 
Now I'm mad, Frieza!!!",5133
20,2001100,Take your best shot.,5134
21,2001520,"I've heard just about enough 
from you! I'll end this now!!!",5157
22,2001560,"I'm the strongest in the universe! 
And that is why... 
You... horrible... You must... 
You must die by my hand!!!",5158
23,2001900,"I'm sure I can make short work 
of the rest of you!",5176
24,2001920,"The Third Eye will 
put an end to you!",5181
28,2002050,You're going down!!!,5129
