id,name,description,efficacy_type,eff_value1
1,Ki Disruption,Ki obtained -1,1000,1
2,Ki Disruption,Ki obtained -2,1000,2
3,Ki Disruption,Ki obtained -3,1000,3
4,Ki Disruption,Ki obtained -4,1000,4
5,Ki Disruption,Ki obtained -5,1000,5
6,Ki Disruption,Ki obtained -6,1000,6
7,Ki Disruption,Ki obtained -7,1000,7
10,Ki Disruption,Ki obtained -10,1000,10
30,Super Attack Effect Suppression,Super Attack effects will not activate,1001,0
31,All-Out Attack,"Adds ""All-Out Attack"" to enemy actions 
(increased power, guaranteed to hit, 
effective against all Types, 
ignores applied negative effects)",1005,0
32,Critical Hit Suppression,Critical hits will not occur,1002,0
33,Evasion Suppression,Evasion will be disabled,1003,0
34,Additional Attack Suppression,Additional attacks will be disabled,1004,0
36,Damage Reduction Rate -20%,"Damage reduction rate -20% 
(will not become lower than 0%)",1008,20
