id,heat_up_gimmick_set_id,gauge_start,heat_up_gimmick_skill_id,override_id
101,101,1,1,
102,102,1,1,
103,102,2,33,
104,102,3,30,
105,103,2,34,
106,104,2,1,
107,104,3,31,
108,105,2,34,
109,105,4,33,
110,105,4,31,
111,106,1,33,
112,106,3,34,
113,107,1,3,
114,107,2,34,
115,107,3,30,
116,108,1,1,
117,108,3,32,
118,108,4,34,
119,108,5,31,
120,110,1,1,
121,110,2,34,
122,110,3,33,
123,110,4,31,
125,109,2,33,
126,109,3,34,
127,109,4,30,
128,111,3,33,
129,111,5,3,
130,112,1,33,
131,112,3,3,
132,112,5,31,
133,113,1,33,
134,113,2,34,
135,113,4,30,
136,113,6,7,
137,114,2,34,
138,114,4,33,
139,115,1,1,
140,115,2,34,
141,116,2,1,
142,116,4,30,
143,117,1,1,
144,117,1,30,
145,118,1,33,
146,118,2,34,
147,118,3,31,
148,119,1,1,
149,119,2,30,
150,120,2,3,
151,120,3,33,
152,120,4,34,
153,120,5,31,
154,121,1,3,
155,121,3,33,
156,121,5,34,
157,122,1,32,
158,122,3,34,
159,123,2,33,
160,123,3,6,
161,124,1,1,
162,124,2,33,
163,124,2,34,
164,124,3,30,
165,125,1,2,
166,125,3,31,
167,126,1,2,
168,126,1,33,
169,126,2,34,
170,126,3,31,
171,127,1,1,
172,127,2,32,
173,127,3,3,171.0
174,127,4,5,173.0
175,127,5,7,174.0
176,128,2,34,
177,128,3,4,
178,128,4,32,
179,129,2,33,
180,129,4,31,
181,130,2,3,
182,130,2,33,
183,130,3,32,
184,130,4,30,
185,131,2,34,
186,131,3,31,
187,132,3,32,
188,132,5,31,
189,133,1,3,
190,133,2,34,
191,134,2,33,
192,134,3,30,
193,135,1,32,
194,135,2,33,
195,135,3,31,
196,136,2,36,
197,136,3,34,
198,137,2,33,
199,137,3,34,
200,137,4,30,
201,138,2,3,
202,138,4,34,
203,138,5,33,
204,139,2,32,
205,139,4,34,
206,139,5,31,
207,140,1,1,
208,140,3,3,207.0
209,140,5,31,
210,141,2,32,
211,141,4,34,
212,141,5,31,
213,142,2,33,
214,142,4,37,
215,142,5,31,
216,143,2,35,
217,143,4,30,
218,143,5,34,
219,144,2,32,
220,144,4,34,
221,144,6,31,
222,145,1,33,
223,145,3,34,
224,145,3,31,
225,146,2,32,
226,146,2,33,
227,146,3,34,
228,146,4,10,
229,146,5,30,
230,146,6,31,
