id,type,name,image_path,dragonball_session_id,priority
0,MissionCategory::ComebackMissionCategory,Returning Missions,,,1
1,MissionCategory::NormalMissionCategory,Normal Missions,,,1
2,MissionCategory::NormalMissionCategory,Kami Missions,,,1
3,MissionCategory::NormalMissionCategory,King Kai Missions,,,1
4,MissionCategory::OldMissionCategory,報酬未受け取り,images/en/mission/mission_banner_oldmission.png,,1
5,MissionCategory::AchievementMissionCategory,称号ミッション,,,1
6,MissionCategory::SpecialMissionCategory,Supreme Kai's Trial,,,1
7,MissionCategory::PorungaMissionCategory,Porunga Missions Week 4,,1021.0,1
8,MissionCategory::PorungaMissionCategory,Porunga Missions Week 5,,1022.0,1
9,MissionCategory::PorungaMissionCategory,Porunga Missions Week 6,,1023.0,1
10,MissionCategory::PorungaMissionCategory,Porunga Missions Week 7,,1011.0,1
14,MissionCategory::InvisibleMissionCategory,Hidden Missions,,,1
15,MissionCategory::PorungaMissionCategory,Black Smoke Shenron,,2001.0,1
16,MissionCategory::PorungaMissionCategory,Porunga Missions Week 8,,1031.0,1
17,MissionCategory::PorungaMissionCategory,Porunga Missions Week 9,,1041.0,1
18,MissionCategory::PorungaMissionCategory,Porunga Missions Week 10,,1042.0,1
19,MissionCategory::PorungaMissionCategory,ポルンガ11周目,,1051.0,1
20,MissionCategory::PorungaMissionCategory,ポルンガ12周目,,1052.0,1
21,MissionCategory::PorungaMissionCategory,全世界3億5000万DL突破!!ポルンガ_1周目,,1053.0,1
22,MissionCategory::PorungaMissionCategory,全世界3億5000万DL突破!!ポルンガ_2周目,,1054.0,1
23,MissionCategory::PorungaMissionCategory,全世界3億5000万DL突破!!ポルンガ_3周目,,1055.0,1
24,MissionCategory::PorungaMissionCategory,七夕ポルンガ_1周目,,1056.0,1
25,MissionCategory::PorungaMissionCategory,七夕ポルンガ_2周目,,1057.0,1
26,MissionCategory::PorungaMissionCategory,七夕ポルンガ_3周目,,1058.0,1
27,MissionCategory::PorungaMissionCategory,[en]七夕ポルンガ_1周目,,1059.0,1
28,MissionCategory::PorungaMissionCategory,[en]七夕ポルンガ_2周目,,1060.0,1
29,MissionCategory::PorungaMissionCategory,[en]七夕ポルンガ_3周目,,1061.0,1
30,MissionCategory::PorungaMissionCategory,[en]七夕ポルンガ_1周目,,1062.0,1
