id,name,itemized_description
1,Barrage,"*After delivering a final blow*
- ATK 25%{passiveImg:up_g} for 3 turn(s) after the end of the turn"
4,Saiyan's Pride,"*When HP is 30% or less*
- Ki +2 and ATK 2000{passiveImg:up_g}"
6,Prince's Pride,"*When HP is 30% or less*
- ATK 40%{passiveImg:up_g}"
10,Rapid,"*Basic effect(s)*
- AGL & PHY Type allies' Ki +1"
13,First Attack,"*When attacking*
- Enemies' DEF 50%{passiveImg:down_y}"
14,Hidden Power,"*Basic effect(s)*
- Chance of ATK 25%{passiveImg:up_g}"
15,Captain's Character,"*Basic effect(s)*
- Rare chance of ATK & DEF 50%{passiveImg:up_g}"
17,Kill Them All,"*When facing 3 or more enemies*
- ATK 50%{passiveImg:up_g}"
18,Energy Absorption,"*After attacking with 5 or more Ki*
- Recovers 15% of damage dealt as HP"
19,Energy Absorption,"*After attacking with 8 or more Ki*
- Recovers 25% of damage dealt as HP"
20,Full Power,"*When HP is 50% or more*
- ATK 25%{passiveImg:up_g}"
22,United We Stand,"*When attacking*
- Rare chance of lowering the enemy's DEF to 0"
23,Master's Teachings,"*When HP is 50% or more*
- All allies' Ki +1"
24,Assassin's Pride,"*Basic effect(s)*
- Ki +1"
25,Pinky Swear,"*Basic effect(s)*
- PHY Type enemies' ATK 30%{passiveImg:down_y}"
26,Eliminate Them!,"*When facing 2 or more enemies*
- Ki +2"
27,Full Power,"*When HP is 10% or less*
- ATK 2500{passiveImg:up_g}"
28,Paralysis,"*After receiving an attack*
- All enemies' DEF 100%{passiveImg:down_y} for 3 turn(s)"
29,Fastest Thing Alive,"*As the 1st attacker in a turn*
- Ki +2"
30,Teamwork,"*As the 2nd attacker in a turn*
- All allies' ATK 1000{passiveImg:up_g}"
31,Buying Time,"*When HP is 50% or less*
- Recovers 10% HP"
32,Unexpected Attack,"*When attacking*
- Chance of all enemies' DEF 50%{passiveImg:down_y}"
33,Perspiration,"*When attacking with 5 or more Ki*
- ATK 1500{passiveImg:up_g}"
34,Perfect Guard,"*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
35,Super Power,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
36,Dormant Saiyan Power,"*When HP is 30% or less*
- ATK 1500{passiveImg:up_g}"
37,Earthling's Pride,"*When facing only 1 enemy*
- DEF 2000{passiveImg:up_g}"
38,Playing Dead,"*Basic effect(s)*
- Chance of recovering 10% HP"
39,Restraint,"*Basic effect(s)*
- Rare chance of stunning all enemies"
40,Supernatural Power,"*Basic effect(s)*
- Rare chance of all enemies' ATK 15%{passiveImg:down_y}"
41,Somber Premonition,"*Basic effect(s)*
- Chance of all enemies' DEF 50%{passiveImg:down_y}"
42,Latent Power,"*When attacking with 10 or more Ki*
- ATK 1500{passiveImg:up_g}"
43,Teamwork,"*When attacking*
- All allies' ATK 1000{passiveImg:up_g}"
44,Energy Absorption,"*Basic effect(s)*
- Recovers 10% of damage dealt as HP"
46,Overwhelming Pressure,"*When attacking*
- Disables the enemy's guard"
47,Perfect Guard,"*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
48,Perfect Form,"*Basic effect(s)*
- {passiveImg:forever}Immune to negative effects"
49,Latent Power,"*When attacking with 12 or more Ki*
- ATK 2500{passiveImg:up_g}"
50,Super Power,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
51,Time Freeze,"*Basic effect(s)*
- Rare chance of stunning all enemies"
52,Right Behind You,"*Basic effect(s)*
- Ki +1"
54,Assassin,"*As the 3rd attacker in a turn*
- ATK 1500{passiveImg:up_g}"
55,Regenerative Power,"*Basic effect(s)*
- Chance of recovering 5% HP"
56,First Attack,"*When attacking*
- Ki +1"
57,Warrior of Hope,"*When attacking with 5 or more Ki*
- ATK 50%{passiveImg:up_g}"
58,The True Prince,"*Basic effect(s)*
- Attacked enemy's ATK 25%{passiveImg:down_y}"
59,Adversity,"*When attacking with 5 or more Ki*
- ATK 25%{passiveImg:up_g}"
60,Warrior Race,"*When attacking with 8 or more Ki*
- ATK 30%{passiveImg:up_g}"
61,Overwhelming Power,"*Basic effect(s)*
- ATK 1500{passiveImg:up_g}"
62,Hopeless Terror,"*Basic effect(s)*
- Chance of all enemies' ATK & DEF 30%{passiveImg:down_y}"
63,Absorption,"*At the end of the turn in which a final blow is delivered*
- {passiveImg:forever}ATK 2500{passiveImg:up_g}"
64,Energy Absorption,"*After attacking with 8 or more Ki*
- Recovers 25% of damage dealt as HP"
65,Berserker's Rage,"*When HP is 30% or less*
- Ki +5"
66,No More Games,"*Basic effect(s)*
- Rare chance of Ki +2 and ATK 1500{passiveImg:up_g}"
67,Earth's Strongest,"*When HP is 50% or less*
- ATK 1500{passiveImg:up_g}"
68,Regenerative Power,"*When HP is 20% or less*
- Recovers 12% HP"
69,Ultimate Blow,"*When HP is 10% or less*
- {passiveImg:once}Ki +5"
70,Supernatural Power,"*Basic effect(s)*
- AGL Type enemies' ATK 25%{passiveImg:down_y}"
71,Special Squad Attack,"*Basic effect(s)*
- Chance of all allies' Ki +2"
72,Desperation,"*When HP is 30% or less*
- All enemies' and all allies' ATK 25%{passiveImg:up_g}"
73,Destruction Blow,"*When attacking with 12 or more Ki*
- ATK 70%{passiveImg:up_g}"
74,Pride,"*Basic effect(s)*
- AGL & PHY Type allies' ATK & DEF 500{passiveImg:up_g}"
75,My Choice,"*When attacking with 5 or more Ki*
- Medium chance of sealing the enemy's Super Attack"
77,Energy Absorption,"*Basic effect(s)*
- Recovers 15% of damage dealt as HP"
78,Limitless Power,"*When HP is 50% or more*
- Ki +1 and ATK 1000{passiveImg:up_g}"
79,Limitless Power,"*When HP is 50% or more*
- Ki +2"
80,The Mission,"*Basic effect(s)*
- ATK 50%{passiveImg:up_g}"
82,Assassin's 20th Anniversary,"*Basic effect(s)*
- Rare chance of stunning all enemies"
83,Latent Power,"*When attacking with 10 or more Ki*
- ATK 1500{passiveImg:up_g}"
84,Enthusiasm,"*Basic effect(s)*
- Ki +2 and ATK 500{passiveImg:up_g}"
85,Restraint,"*Basic effect(s)*
- Rare chance of stunning all enemies"
86,Psychokinesis,"*When attacking with 5 or more Ki*
- Disables the enemy's guard"
87,Desert Wolf,"*When attacking with 5 or more Ki*
- Enemies' DEF 30%{passiveImg:down_y}"
88,First Attack,"*Basic effect(s)*
- ATK 50%{passiveImg:up_g}"
89,Energy Absorption,"*Basic effect(s)*
- Medium chance of recovering 25% of damage dealt as HP"
90,Energy Absorption,"*Basic effect(s)*
- Medium chance of recovering 25% of damage dealt as HP"
91,Full Throttle,"*When attacking with 5 or more Ki*
- ATK 1000{passiveImg:up_g}"
93,God of Martial Arts,"*Basic effect(s)*
- ATK 1200{passiveImg:up_g}"
114,Pure Tenacity,"*When attacking with 5 or more Ki*
- ATK 1200{passiveImg:up_g}"
115,Overflowing Ki,"*Basic effect(s)*
- Chance of Ki +2"
118,Adversity,"*When HP is 30% or less*
- ATK 1500{passiveImg:up_g}"
119,Lust for Victory,"*Basic effect(s)*
- STR Type enemies' ATK 20%{passiveImg:down_y}"
120,Full Speed,"*When HP is 100%*
- Ki +3"
122,Teamwork,"*As the 2nd attacker in a turn*
- ATK 1000{passiveImg:up_g}"
124,Proof of Effort,"*Basic effect(s)*
- TEQ & STR Type allies' ATK 700{passiveImg:up_g}"
125,Teamwork,"*As the 3rd attacker in a turn*
- ATK 1000{passiveImg:up_g}"
127,Champion's Pride,"*Basic effect(s)*
- Ki +3"
128,Deep Affection,"*Basic effect(s)*
- Chance of recovering 2000 HP"
129,Secrets of the Crane School,"*Basic effect(s)*
- All enemies' ATK 10%{passiveImg:down_y}"
