id,enemy_skill_id,link_skill_id
96000,96001,125
96001,96008,125
96002,96014,125
96003,96017,125
100000,100001,125
100001,100008,125
100002,100014,125
100003,100017,125
101000,101001,125
101001,101008,125
101002,101015,125
101003,101018,125
102000,102001,125
102001,102008,125
102002,102014,125
102003,102017,125
105000,105001,125
105001,105008,125
105002,105014,125
105003,105017,125
107000,107001,125
107001,107008,125
107002,107014,125
107003,107017,125
108000,108001,125
108001,108008,125
108002,108014,125
108003,108017,125
109001,109001,125
109002,109008,125
109003,109014,125
109004,109017,125
111001,111001,125
111002,111008,125
111003,111014,125
111004,111017,125
113001,113001,125
113002,113008,125
113003,113014,125
113004,113017,125
118001,118001,125
118002,118008,125
118003,118014,125
118004,118017,125
120000,1200,19
121000,1210,30
122000,1220,42
124000,1240,34
124001,124001,125
124002,124008,125
124003,124014,125
124004,124017,125
126000,1260,52
127000,1270,52
127001,127001,125
127002,127008,125
127003,127014,125
127004,127017,125
128001,128001,125
128002,128008,125
128003,128014,125
128004,128017,125
130001,130001,125
130002,130008,125
130003,130014,125
130004,130017,125
131001,131001,125
131002,131008,125
131003,131014,125
131004,131017,125
133001,133001,125
133002,133008,125
133003,133014,125
133004,133017,125
134001,134001,125
134002,134008,125
134003,134014,125
134004,134017,125
135001,135001,125
135002,135008,125
135003,135014,125
135004,135017,125
137001,137001,125
137002,137008,125
137003,137014,125
137004,137017,125
140001,140001,125
140002,140008,125
140003,140014,125
140004,140017,125
141001,141001,125
141002,141008,125
141003,141014,125
141004,141017,125
145001,145001,125
145002,145008,125
145003,145014,125
145004,145017,125
146001,146001,125
146002,146008,125
146003,146014,125
146004,146017,125
148001,148001,125
148002,148008,125
148003,148014,125
148004,148017,125
151001,151001,125
151002,151008,125
151003,151014,125
151004,151017,125
153001,153001,125
153002,153008,125
153003,153014,125
153004,153017,125
155001,155001,125
155002,155008,125
155003,155014,125
155004,155017,125
156001,156001,125
156002,156008,125
156003,156014,125
156004,156017,125
157001,157001,125
157002,157008,125
157003,157014,125
157004,157017,125
158001,158001,125
158002,158008,125
158003,158014,125
158004,158017,125
161001,161001,125
161002,161008,125
161003,161014,125
161004,161017,125
166001,166001,125
166002,166008,125
166003,166014,125
166004,166017,125
167001,167001,125
167002,167008,125
167003,167014,125
167004,167017,125
168001,168001,125
168002,168008,125
168003,168014,125
168004,168017,125
169001,169001,125
169002,169008,125
169003,169014,125
169004,169017,125
169005,169020,125
169006,169026,125
170001,170001,125
170002,170008,125
170003,170014,125
170004,170017,125
176001,176001,125
176002,176008,125
176003,176014,125
176004,176017,125
179001,179001,125
179002,179008,125
179003,179014,125
179004,179017,125
180001,180001,125
180002,180008,125
180003,180014,125
180004,180017,125
182001,182001,125
182002,182008,125
182003,182014,125
182004,182017,125
184001,184001,125
184002,184008,125
184003,184014,125
184004,184017,125
185001,185001,125
185002,185008,125
185003,185014,125
185004,185017,125
189001,189001,125
189002,189008,125
189003,189014,125
189004,189017,125
191001,191001,125
191002,191008,125
191003,191014,125
191004,191017,125
193001,193001,125
193002,193008,125
193003,193014,125
193004,193017,125
193005,193020,125
194001,194001,125
194002,194008,125
194003,194014,125
194004,194017,125
194005,194020,125
194006,194028,125
197001,197001,125
197002,197008,125
197003,197014,125
197004,197017,125
198001,198001,125
198002,198008,125
198003,198014,125
198004,198017,125
202001,202001,125
202002,202008,125
202003,202014,125
202004,202017,125
714001,714001,125
721001,721001,125
722001,722001,125
723001,723001,125
724001,724001,125
727001,727001,125
1000007,1000596,125
1000008,1000597,125
1000009,1000598,125
1000010,1000599,125
1000011,1000677,125
1000012,1000678,125
1000013,1000754,125
1000016,1000858,125
1000017,1000859,125
1000019,1000861,125
1000020,1000907,125
1000021,1000908,125
1000022,1000993,125
1000027,1001032,125
1000028,1001033,125
1000029,1001034,125
1000030,1001035,125
3912000,39140,61
